record_no	video_id	vid	start_time	end_time	start_frame	end_frame	caption
0	S50_Brownie_7150991-203	f141_i023_a00	151.0	152.0	4530	4590	taking a kitchen knife from a drawer .
1	S47_Salad_7150991-196	f130_i028_a00	214.0	246.0	6420	7410	peeling a zucchini with a peeler .
2	S22_Salad_7150991-952	f60_i000_a00	6.0	9.0	180	300	taking a bowl from a cabinet .
3	S17_Salad_7150991-822	f42_i005_a00	90.0	94.0	2700	2850	taking a zucchini out of a bag .
4	S31_Brownie_7150991-1	f82_i018_a00	167.0	169.0	5010	5100	closing a base cabinet .
5	S22_Brownie_7150991-921	f58_i049_a00	565.0	569.0	16950	17100	putting a baking pan into an oven .
6	S48_Eggs_7150991-637	f133_i023_a00	112.0	120.0	3360	3630	swirling oil around in a frying pan .
7	S18_Sandwich_7150991-893	f47_i009_a00	52.0	61.0	1560	1860	closing a bag of sliced bread with a twist tie .
8	S25_Sandwich_7150991-782	f67_i000_a00	10.0	11.0	300	360	opening a fridge .
9	S34_Brownie_7150991-268	f97_i037_a00	309.0	311.0	9270	9360	opening an oven .
10	S51_Salad_7150991-225	f149_i027_a00	293.0	297.0	8790	8940	putting a zucchini into a bag .
11	S18_Eggs_7150991-3391	f45_i016_a00	78.0	80.0	2340	2430	opening a salt bottle .
12	S47_Salad_7150991-196	f130_i012_a00	79.0	84.0	2370	2550	putting celery stalk slices into a bowl .
13	S35_Pizza_7150991-218	f104_i011_a00	166.0	179.0	4980	5400	unrolling pizza crust on a baking pan .
14	S17_Pizza_7150991-811	f41_i046_a00	443.0	448.0	13290	13470	putting a pepperoni slice on pizza crust .
15	S51_Salad_7150991-225	f149_i028_a00	305.0	349.0	9150	10500	slicing a zucchini with a kitchen knife .
16	S54_Pizza_7150991-192	f158_i020_a00	286.0	290.0	8580	8730	taking a block cheese out of a package .
17	S49_Brownie_7150991-202	f136_i020_a00	120.0	123.0	3600	3720	taking a small measuring cup from a cabinet .
18	S51_Pizza_7150991-323	f148_i032_a00	443.0	446.0	13290	13410	wiping fingers with a paper towel .
19	S19_Brownie_7150991-848	f48_i029_a00	268.0	269.0	8040	8100	putting a small measuring cup into a sink .
20	S41_Sandwich_7150991-286	f126_i014_a00	69.0	73.0	2070	2220	scooping out blueberry jam from a jar with a spoon .
21	S51_Pizza_7150991-323	f148_i018_a00	223.0	238.0	6690	7170	spreading tomato sauce on pizza crust with a spoon .
22	S40_Brownie_7150991-288	f117_i033_a00	193.0	195.0	5790	5880	pouring brownie mix into a big bowl .
23	S25_Salad_7150991-302	f66_i012_a00	90.0	91.0	2700	2760	putting carrot slices into a bowl .
24	S13_Salad_7150991-158	f23_i001_a00	17.0	18.0	510	570	closing a fridge .
25	S22_Sandwich_7150991-878	f61_i018_a00	82.0	86.0	2460	2610	scooping out blueberry jam from a jar with a butter knife .
26	S34_Sandwich_7150991-54	f101_i007_a00	38.0	40.0	1140	1230	taking a paper plate from a cabinet .
27	S51_Salad_7150991-225	f149_i030_a00	370.0	374.0	11100	11250	cutting lettuce leaves with a kitchen knife .
28	S54_Brownie_7150991-308	f156_i036_a00	280.0	282.0	8400	8490	wiping hands with a paper towel .
29	S25_Salad_7150991-302	f66_i027_a00	148.0	151.0	4440	4560	shaking a dressing bottle .
30	S50_Eggs_7150991-313	f142_i035_a00	194.0	250.0	5820	7530	stirring eggs in a frying pan with a spatula .
31	S17_Salad_7150991-822	f42_i004_a00	80.0	89.0	2400	2700	tying a bag of lettuce .
32	S48_Salad_7150991-222	f135_i021_a00	200.0	201.0	6000	6060	putting carrot pieces into a bowl .
33	S31_Salad_7150991-1	f85_i038_a00	412.0	415.0	12360	12480	twisting off a dressing bottle cap .
34	S08_Salad_7150991-649	f07_i010_a00	105.0	107.0	3150	3240	cutting off the edge of a celery stalk with a kitchen knife .
35	S41_Pizza_7150991-287	f124_i029_a00	521.0	527.0	15630	15840	putting a baking pan into an oven .
36	S22_Brownie_7150991-921	f58_i015_a00	98.0	100.0	2940	3030	putting a cracked eggshell into a sink .
37	S49_Eggs_7150991-224	f137_i024_a00	110.0	112.0	3300	3390	taking a whisk from a drawer .
38	S07_Eggs_7150991-1466	f01_i012_a00	72.0	74.0	2160	2250	opening a base cabinet .
39	S28_Pizza_7150991-1	f70_i035_a00	391.0	393.0	11730	11820	putting a cheese grater into a cabinet .
40	S50_Eggs_7150991-313	f142_i034_a00	191.0	193.0	5730	5820	taking a spatula from a drawer .
41	S50_Eggs_7150991-313	f142_i008_a00	42.0	44.0	1260	1350	opening a base cabinet .
42	S16_Brownie_7150991-1431	f34_i008_a00	37.0	38.0	1110	1170	opening a fridge .
43	S33_Brownie_7150991-211	f92_i010_a00	77.0	83.0	2310	2520	wiping hands with a paper towel .
44	S17_Eggs_7150991-1187	f40_i033_a00	166.0	171.0	4980	5160	touching a beaten egg in a frying pan with a spatula .
45	S54_Brownie_7150991-308	f156_i022_a00	103.0	128.0	3090	3870	beating eggs with a whisk .
46	S48_Pizza_7150991-259	f134_i003_a00	30.0	35.0	900	1080	putting ingredients on a counter .
47	S24_Brownie_7150991-483	f62_i032_a00	241.0	345.0	7230	10380	mixing the ingredients of brownie in a big bowl with a fork .
48	S13_Brownie_7150991-631	f21_i052_a00	568.0	582.0	17040	17490	flattening brownie batter in a baking pan .
49	S29_Salad_7150991-1	f76_i011_a00	91.0	93.0	2730	2820	taking a bowl from a cabinet .
50	S53_Brownie_7150991-211	f151_i038_a00	238.0	241.0	7140	7260	stirring brownie batter with a whisk .
51	S13_Salad_7150991-158	f23_i037_a00	310.0	314.0	9300	9450	putting a bag of croutons into a cabinet .
52	S31_Salad_7150991-1	f85_i036_a00	392.0	399.0	11760	12000	wiping fingers with a paper towel .
53	S31_Salad_7150991-1	f85_i020_a00	222.0	242.0	6660	7290	peeling a zucchini with a peeler .
54	S48_Salad_7150991-222	f135_i005_a00	44.0	49.0	1320	1500	putting ingredients on a counter .
55	S31_Pizza_7150991-1	f84_i023_a00	385.0	388.0	11550	11670	putting a pepperoni stick into a package .
56	S53_Sandwich_7150991-103	f155_i014_a00	85.0	98.0	2550	2970	scooping out blueberry jam from a jar with a butter knife .
57	S34_Salad_7150991-200	f100_i000_a00	10.0	11.0	300	360	opening a fridge .
58	S34_Brownie_7150991-268	f97_i022_a00	106.0	115.0	3180	3480	pouring oil into a small measuring cup .
59	S24_Brownie_7150991-483	f62_i016_a00	113.0	120.0	3390	3630	opening a bag of brownie mix .
60	S34_Eggs_7150991-149	f98_i016_a00	94.0	110.0	2820	3330	beating eggs with a whisk .
61	S20_Pizza_7150991-180	f55_i006_a00	41.0	44.0	1230	1350	pushing the middle of a pizza crust can with fingers .
62	S33_Brownie_7150991-211	f92_i029_a00	175.0	178.0	5250	5370	taking a box of brownie mix from a base cabinet .
63	S18_Eggs_7150991-3391	f45_i033_a00	149.0	152.0	4470	4590	putting a big bowl into a sink .
64	S16_Brownie_7150991-1431	f34_i004_a00	19.0	21.0	570	660	taking a fork from a drawer .
65	S16_Brownie_7150991-1431	f34_i003_a00	14.0	17.0	420	540	taking a big bowl from a cabinet .
66	S34_Sandwich_7150991-54	f101_i001_a00	13.0	14.0	390	450	taking a bag of sliced bread from a fridge .
67	S25_Pizza_7150991-293	f65_i007_a00	39.0	44.0	1170	1350	taking a kitchen knife from a drawer .
68	S13_Eggs_7150991-1728	f22_i026_a00	176.0	178.0	5280	5370	beating an egg with a spoon .
69	S47_Pizza_7150991-191	f129_i000_a00	11.0	12.0	330	390	opening a fridge .
70	S50_Eggs_7150991-313	f142_i005_a00	30.0	33.0	900	1020	taking a frying pan from a cabinet .
71	S51_Salad_7150991-225	f149_i026_a00	283.0	292.0	8490	8790	slicing a zucchini with a kitchen knife .
72	S49_Pizza_7150991-198	f138_i005_a00	44.0	59.0	1320	1800	opening a pizza crust can with hands .
73	S50_Sandwich_7150991-450	f145_i004_a00	25.0	28.0	750	870	taking a paper plate from a cabinet .
74	S51_Salad_7150991-225	f149_i022_a00	240.0	247.0	7200	7440	taking a bag of zucchini from a fridge .
75	S31_Pizza_7150991-1	f84_i014_a00	198.0	200.0	5940	6030	opening a tomato sauce jar .
76	S20_Salad_7150991-475	f56_i022_a00	223.0	230.0	6690	6930	putting croutons on a salad .
77	S40_Pizza_7150991-206	f119_i024_a00	287.0	310.0	8610	9330	spreading grated cheese on pizza crust .
78	S48_Pizza_7150991-259	f134_i007_a00	71.0	84.0	2130	2550	opening a pizza crust can with hands .
79	S49_Salad_7150991-294	f139_i023_a00	274.0	287.0	8220	8640	putting zucchini slices into a bowl .
80	S50_Salad_7150991-243	f144_i005_a00	41.0	54.0	1230	1650	taking a carrot out of a bag .
81	S34_Brownie_7150991-268	f97_i017_a00	84.0	88.0	2520	2670	pouring water into a big bowl .
82	S53_Eggs_7150991-187	f152_i031_a00	203.0	212.0	6090	6390	putting scrambled eggs on a paper plate .
