video_name,timestamp_of_video_head
S07_Brownie_7150991-1431,1900-01-01 16:31:49.915721
S07_Eggs_7150991-1466,1900-01-01 17:12:11.366647
S07_Pizza_7150991-1884,1900-01-01 17:30:16.339884
S07_Salad_7150991-2095,1900-01-01 16:55:25.126335
S07_Sandwich_7150991-2343,1900-01-01 16:16:24.070366
S08_Brownie_7150991-935,1900-01-01 11:17:12.537829
S08_Pizza_7150991-563,1900-01-01 12:06:26.959085
S08_Salad_7150991-649,1900-01-01 11:51:26.783750
S08_Sandwich_7150991-539,1900-01-01 11:05:51.007037
S09_Brownie_7150991-1653,1900-01-01 16:49:31.576867
S09_Eggs_7150991-1050,1900-01-01 17:10:22.677726
S09_Pizza_7150991-1072,1900-01-01 17:50:02.733002
S09_Salad_7150991-1874,1900-01-01 17:31:45.497424
S11_Eggs_7150991-1247,1900-01-01 18:23:34.773547
S11_Pizza_7150991-2116,1900-01-01 18:38:04.569190
S11_Salad_7150991-825,1900-01-01 18:09:07.702912
S12_Brownie_7150991-1306,1900-01-01 11:09:18.843808
S12_Eggs_7150991-1088,1900-01-01 11:50:11.460109
S12_Pizza_7150991-807,1900-01-01 12:38:00.454278
S12_Salad_7150991-2146,1900-01-01 11:31:05.887245
S12_Sandwich_7150991-2470,1900-01-01 10:51:44.234704
S13_Brownie_7150991-631,1900-01-01 12:02:01.197941
S13_Eggs_7150991-1728,1900-01-01 12:43:13.137865
S13_Salad_7150991-158,1900-01-01 12:26:17.685955
S13_Sandwich_7150991-863,1900-01-01 11:46:29.017596
S14_Brownie_7150991-1526,1900-01-01 17:11:20.947957
S14_Eggs_7150991-1016,1900-01-01 17:58:34.469318
S14_Pizza_7150991-1701,1900-01-01 18:19:42.753850
S14_Salad_7150991-1238,1900-01-01 17:43:36.126562
S15_Brownie_7150991-4296,1900-01-01 11:16:52.139320
S15_Eggs_7150991-424,1900-01-01 11:38:31.311401
S15_Pizza_7150991-5341,1900-01-01 11:53:10.840896
S15_Salad_7150991-451,1900-01-01 11:33:13.175842
S15_Sandwich_7150991-200,1900-01-01 11:23:40.440470
S16_Brownie_7150991-1431,1900-01-01 10:40:19.391932
S16_Eggs_7150991-858,1900-01-01 11:00:11.877013
S16_Pizza_7150991-3739,1900-01-01 11:35:23.627338
S16_Salad_7150991-1308,1900-01-01 11:18:40.153364
S16_Sandwich_7150991-1075,1900-01-01 10:25:32.057541
S17_Brownie_7150991-1231,1900-01-01 16:53:51.295367
S17_Eggs_7150991-1187,1900-01-01 17:11:51.200290
S17_Pizza_7150991-811,1900-01-01 18:02:49.366255
S17_Salad_7150991-822,1900-01-01 17:44:53.249853
S17_Sandwich_7150991-4305,1900-01-01 16:38:22.587256
S18_Brownie_7150991-885,1900-01-01 12:01:46.710175
S18_Eggs_7150991-3391,1900-01-01 11:09:14.270306
S18_Salad_7150991-649,1900-01-01 11:28:25.357144
S18_Sandwich_7150991-893,1900-01-01 10:35:17.494815
S19_Brownie_7150991-848,1900-01-01 16:15:10.556228
S19_Eggs_7150991-691,1900-01-01 16:36:47.497246
S19_Pizza_7150991-399,1900-01-01 17:13:35.720792
S19_Salad_7150991-1394,1900-01-01 16:56:18.044939
S19_Sandwich_7150991-549,1900-01-01 16:03:50.717123
S20_Brownie_7150991-236,1900-01-01 12:03:21.403820
S20_Eggs_7150991-511,1900-01-01 11:13:39.712023
S20_Pizza_7150991-180,1900-01-01 11:36:49.324134
S20_Salad_7150991-475,1900-01-01 11:27:01.792218
S20_Sandwich_7150991-1256,1900-01-01 10:42:41.634361
S22_Brownie_7150991-921,1900-01-01 10:43:45.659081
S22_Pizza_7150991-664,1900-01-01 11:41:22.488955
S22_Salad_7150991-952,1900-01-01 11:23:24.835838
S22_Sandwich_7150991-878,1900-01-01 12:02:20.686871
S24_Brownie_7150991-483,1900-01-01 11:34:47.348794
S25_Brownie_7150991-763,1900-01-01 16:05:39.046933
S25_Eggs_7150991-325,1900-01-01 16:20:17.085122
S25_Pizza_7150991-293,1900-01-01 16:47:47.931293
S25_Salad_7150991-302,1900-01-01 16:37:33.359162
S25_Sandwich_7150991-782,1900-01-01 15:52:51.100809
S28_Brownie_7150991-1,1900-01-01 12:10:55.063828
S28_Eggs_7150991-1,1900-01-01 11:39:47.137429
S28_Pizza_7150991-1,1900-01-01 11:24:46.628989
S28_Salad_7150991-1,1900-01-01 11:51:06.379958
S28_Sandwich_7150991-1,1900-01-01 12:01:38.937394
S29_Brownie_7150991-1,1900-01-01 11:30:21.560004
S29_Eggs_7150991-1,1900-01-01 10:55:57.238623
S29_Pizza_7150991-1,1900-01-01 10:44:29.047341
S29_Salad_7150991-1,1900-01-01 11:05:19.145322
S29_Sandwich_7150991-1,1900-01-01 11:23:04.679726
S30_Brownie_7150991-1,1900-01-01 16:10:21.319935
S30_Eggs_7150991-1,1900-01-01 15:35:01.843153
S30_Pizza_7150991-1,1900-01-01 15:20:42.251113
S30_Sandwich_7150991-1,1900-01-01 16:00:16.629678
S31_Brownie_7150991-1,1900-01-01 11:04:17.129421
S31_Eggs_7150991-1,1900-01-01 10:17:50.968807
S31_Pizza_7150991-1,1900-01-01 09:59:35.525835
S31_Salad_7150991-1,1900-01-01 10:37:00.848765
S31_Sandwich_7150991-1,1900-01-01 10:52:25.819100
S32_Brownie_7150991-1,1900-01-01 17:13:03.657947
S32_Eggs_7150991-1,1900-01-01 16:08:27.623136
S32_Pizza_7150991-1,1900-01-01 15:51:57.437999
S32_Salad_7150991-1,1900-01-01 16:51:30.337889
S32_Sandwich_7150991-1,1900-01-01 17:05:44.048820
S33_Brownie_7150991-211,1900-01-01 11:18:59.806485
S33_Eggs_7150991-461,1900-01-01 10:29:22.084876
S33_Pizza_7150991-385,1900-01-01 10:09:44.551191
S33_Salad_7150991-85,1900-01-01 10:45:19.773097
S33_Sandwich_7150991-3,1900-01-01 11:09:18.415476
S34_Brownie_7150991-268,1900-01-01 16:38:10.965379
S34_Eggs_7150991-149,1900-01-01 15:22:30.440254
S34_Pizza_7150991-240,1900-01-01 15:04:36.090749
S34_Salad_7150991-200,1900-01-01 15:42:59.250283
S34_Sandwich_7150991-54,1900-01-01 16:04:15.175178
S35_Brownie_7150991-200,1900-01-01 11:25:38.164300
S35_Eggs_7150991-158,1900-01-01 10:36:51.050648
S35_Pizza_7150991-218,1900-01-01 10:11:58.301305
S35_Salad_7150991-146,1900-01-01 11:00:08.603989
S35_Sandwich_7150991-204,1900-01-01 11:17:40.786205
S36_Brownie_7150991-178,1900-01-01 16:43:07.386811
S36_Eggs_7150991-543,1900-01-01 15:42:11.425006
S36_Pizza_7150991-355,1900-01-01 15:20:08.865173
S36_salad_7150991-334,1900-01-01 16:03:02.377200
S36_Sandwich_7150991-165,1900-01-01 16:26:47.077700
S37_Brownie_7150991-133,1900-01-01 11:26:07.819817
S37_Eggs_7150991-233,1900-01-01 10:46:19.847057
S37_Pizza_7150991-233,1900-01-01 10:27:42.287594
S37_Salad_7150991-178,1900-01-01 10:58:10.911756
S37_Sandwich_7150991-203,1900-01-01 11:17:19.999850
S40_Brownie_7150991-288,1900-01-01 16:29:49.178530
S40_Eggs_7150991-185,1900-01-01 15:53:20.860178
S40_Pizza_7150991-206,1900-01-01 15:37:18.790082
S40_Salad_7150991-195,1900-01-01 16:07:53.034577
S40_Sandwich_7150991-237,1900-01-01 16:20:55.733439
S41_Brownie_7150991-252,1900-01-01 11:11:23.145675
S41_Eggs_7150991-183,1900-01-01 10:36:24.305186
S41_Pizza_7150991-287,1900-01-01 10:13:56.215524
S41_Salad_7150991-349,1900-01-01 10:47:53.012504
S41_Sandwich_7150991-286,1900-01-01 10:56:40.495143
S47_Brownie_7150991-179,1900-01-01 10:55:12.602889
S47_Eggs_7150991-201,1900-01-01 10:09:37.358360
S47_Pizza_7150991-191,1900-01-01 09:55:26.790502
S47_Salad_7150991-196,1900-01-01 10:22:58.048791
S47_Sandwich_7150991-197,1900-01-01 10:44:54.349406
S48_Brownie_7150991-179,1900-01-01 16:21:43.936240
S48_Eggs_7150991-637,1900-01-01 15:41:55.438314
S48_Pizza_7150991-259,1900-01-01 15:26:30.640906
S48_Salad_7150991-222,1900-01-01 15:54:49.047305
S49_Brownie_7150991-202,1900-01-01 11:20:50.706983
S49_Eggs_7150991-224,1900-01-01 10:36:04.752774
S49_Pizza_7150991-198,1900-01-01 10:23:33.755666
S49_Salad_7150991-294,1900-01-01 10:52:05.853712
S49_Sandwich_7150991-511,1900-01-01 11:04:07.054162
S50_Brownie_7150991-203,1900-01-01 16:39:49.445739
S50_Eggs_7150991-313,1900-01-01 15:42:31.621578
S50_Pizza_7150991-250,1900-01-01 15:24:13.000026
S50_Salad_7150991-243,1900-01-01 15:54:58.060573
S50_Sandwich_7150991-450,1900-01-01 16:27:39.728707
S51_Brownie_7150991-258,1900-01-01 10:39:39.610783
S51_Eggs_7150991-512,1900-01-01 10:01:02.690979
S51_Pizza_7150991-323,1900-01-01 09:32:16.945285
S51_Salad_7150991-225,1900-01-01 10:11:13.330085
S51_Sandwich_7150991-324,1900-01-01 10:24:55.869496
S53_Brownie_7150991-211,1900-01-01 10:30:57.863976
S53_Eggs_7150991-187,1900-01-01 10:04:58.995374
S53_Pizza_7150991-119,1900-01-01 09:42:05.452058
S53_Salad_7150991-143,1900-01-01 10:15:31.624688
S53_Sandwich_7150991-103,1900-01-01 10:25:02.448869
S54_Brownie_7150991-308,1900-01-01 11:56:00.041395
